Original,Log with 4 places,Log with 3 places,Log with 2 places
6.26162E-08,6.25919E-08,6.23281E-08,6.31178E-08
5.63545E-07,5.63327E-07,5.60953E-07,6.31178E-07
1.25232E-07,1.25184E-07,1.24656E-07,1.26236E-07
1.25232E-07,1.25184E-07,1.24656E-07,1.31974E-07
5.00929E-07,5.00993E-07,5.03765E-07,5.24629E-07
6.26162E-08,6.26241E-08,6.29707E-08,6.55786E-08
6.26162E-08,6.25917E-08,6.2938E-08,6.55446E-08
0.000121162,0.000121052,0.000121345,0.00012637
6.26162E-08,6.26241E-08,6.29707E-08,6.55786E-08
1.25232E-07,1.25248E-07,1.25941E-07,1.31157E-07
2.30734E-06,2.30645E-06,2.31085E-06,2.08692E-06
2.82493E-05,2.82384E-05,2.82923E-05,2.78051E-05
9.39242E-07,9.38879E-07,9.34922E-07,1.02515E-06
8.1401E-07,8.13695E-07,8.10265E-07,8.88465E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.59868E-08
6.26162E-08,6.26535E-08,6.18397E-08,6.24133E-08
6.26162E-08,6.26535E-08,6.18397E-08,6.24133E-08
3.13081E-07,3.13267E-07,3.09199E-07,3.12066E-07
6.26162E-08,6.26535E-08,6.18397E-08,6.11395E-08
2.81773E-06,2.81941E-06,2.78279E-06,2.9347E-06
6.26162E-08,6.25884E-08,6.17757E-08,6.23517E-08
6.01115E-05,6.01474E-05,5.96136E-05,6.31623E-05
6.26162E-08,6.26535E-08,6.18397E-08,6.24133E-08
1.25232E-07,1.25307E-07,1.23679E-07,1.24827E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.59868E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.59868E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.59868E-08
2.50465E-07,2.50368E-07,2.49312E-07,2.63947E-07
7.51394E-07,7.51103E-07,7.47937E-07,7.25855E-07
1.87848E-07,1.87776E-07,1.86984E-07,1.9796E-07
3.56912E-06,3.56774E-06,3.5527E-06,3.56784E-06
6.26162E-08,6.25919E-08,6.23281E-08,6.37114E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.37114E-08
8.76626E-07,8.76287E-07,8.72593E-07,8.60452E-07
4.19528E-06,4.19366E-06,4.17598E-06,4.30325E-06
6.26162E-08,6.25919E-08,6.23281E-08,6.52007E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.61886E-08
1.25232E-07,1.25184E-07,1.24656E-07,1.20712E-07
1.87848E-07,1.87776E-07,1.86984E-07,1.81068E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.03559E-08
1.38382E-05,1.38328E-05,1.37122E-05,1.43647E-05
5.63545E-07,5.63327E-07,5.60953E-07,6.03559E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.03559E-08
1.87848E-07,1.87776E-07,1.86984E-07,1.81068E-07
1.87848E-07,1.87776E-07,1.86984E-07,1.81068E-07
1.25232E-07,1.25184E-07,1.24656E-07,1.32377E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.61886E-08
2.50465E-07,2.50368E-07,2.49312E-07,2.64754E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.61886E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.61886E-08
6.26162E-08,6.25919E-08,6.23281E-08,6.59868E-08
4.38313E-07,4.38144E-07,4.36297E-07,4.61908E-07
6.26162E-08,6.25919E-08,6.23281E-08,6.59868E-08
1.87848E-07,1.87776E-07,1.86984E-07,1.9796E-07
1.87848E-07,1.87776E-07,1.86984E-07,1.9796E-07
